state,psv_prov_type,source_id
AK,NP,AK_CBP
AK,NPB,AK_CBP
AK,PAS,AK_CBP
AK,PN,AK_CBP
AK,PT,AK_CBP
AK,SH,AK_CBP
AL,AU,AL_ABESPA
AL,DO,AL_ALBME
AL,LC,AL_MFT
AL,LC,IBCLC_COMMISSION
AL,LPC,AL_MFT
AL,MD,AL_ALBME
AL,OD,AL_OPTOMETRY
AL,OP,AL_OPTOMETRY
AL,PA,AL_ALBME
AL,PAS,AL_ALBME
AL,SH,AL_ABESPA
AR,AU,AR_ABESLPA
AR,CP,AR_APB
AR,DAC,AR_BEADAC
AR,DC,AR_ASBCE
AR,DO,AR_MEDBOARD
AR,DT,AR_DIETBOARD
AR,DP,AR_PODIATRY
AR,LC,AR_ABECMFT
AR,LC,IBCLC_COMMISSION
AR,LC,AR_ASBN
AR,LPC,AR_ABECMFT
AR,MD,AR_MEDBOARD
AR,MT,AR_ABECMFT
AR,NP,AR_ASBN
AR,NPB,AR_ASBN
AR,OP,AR_ASBO
AR,PN,AR_ASBN
AR,PT,AR_PTBS
AR,RNA,AR_ASBN
AR,SH,AR_ABESLPA
AR,ST,AR_ABESLPA
AR,SW,AR_SWB
AR,ABA,BACB
AR,GNC,AR_MEDBOARD
AR,NPS,AR_ASBN
AR,OD,AR_ASBO
AR,OT,AR_MEDBOARD
AR,PA,AR_MEDBOARD
AR,PAS,AR_MEDBOARD
AR,PE,AR_APB
AR,PH,AR_MEDBOARD
AZ,AU,AZ_SPEECH_HEAR
AZ,CP,AZ_PSYCH
AZ,CP,PSYPACT
AZ,DA,AZ_DENTAL
AZ,DAC,AZ_BEHAVIORAL_HEALTH
AZ,DC,AZ_CHIRO
AZ,DDS,AZ_DENTAL
AZ,DMD,AZ_DENTAL
AZ,DO,AZ_OSTEO
AZ,LAC,AZ_ACUPUNCTURE
AZ,LC,AZ_BEHAVIORAL_HEALTH
AZ,LC,IBCLC_COMMISSION
AZ,LPC,AZ_BEHAVIORAL_HEALTH
AZ,MD,AZ_MEDBOARD
AZ,MT,AZ_BEHAVIORAL_HEALTH
AZ,ND,AZ_NATUROPATHIC
AZ,OD,AZ_OPTOMETRY
AZ,OP,AZ_OPTOMETRY
AZ,OT,AZ_OT
AZ,PA,AZ_MEDBOARD
AZ,PAB,AZ_MEDBOARD
AZ,PAS,AZ_MEDBOARD
AZ,PT,AZ_PT
AZ,SH,AZ_SPEECH_HEAR
AZ,SW,AZ_BEHAVIORAL_HEALTH
CO,ABA,CO_DORA
CO,CP,CO_DORA
CO,CP,PSYPACT
CO,AP,CO_DORA
CO,AU,CO_DORA
CO,DDS,CO_DORA
CO,DMD,CO_DORA
CO,DO,CO_DORA
CO,DP,CO_DORA
CO,DT,CO_DORA
CO,LC,CO_DORA
CO,LC,IBCLC_COMMISSION
CO,LPC,CO_DORA
CO,MD,CO_DORA
CO,MT,CO_DORA
CO,ND,CO_DORA
CO,NP,CO_DORA
CO,NPB,CO_DORA
CO,NUT,CO_DORA
CO,OT,CO_DORA
CO,PA,CO_DORA
CO,PAB,CO_DORA
CO,PAS,CO_DORA
CO,PH,CO_DORA
CO,PN,CO_DORA
CO,PT,CO_DORA
CO,RFA,CO_DORA
CO,RNA,CO_DORA
CO,SH,CO_DORA
CO,SW,CO_DORA
CT,ABA,CT_ELICENSE
CT,AP,CT_ELICENSE
