psv_prov_type,clinical_name,state,source_id,board_name
ABA,Applied Behavior Analyst,CO,CO_DORA,Colorado Division of Regulatory Agencies — Professional and Occupational Licenses
ABA,Applied Behavior Analyst,CT,CT_ELICENSE,Connecticut eLicense — Healthcare Practitioners
ABA,Applied Behavior Analyst,FL,FL_MQA,Florida Department of Health — Medical Quality Assurance
ABA,Applied Behavior Analyst,ID,ID_DOPL,Idaho Division of Occupational and Professional Licenses
ABA,Applied Behavior Analyst,IL,IL_LICENSING,Illinois Department of Financial and Professional Regulation — Professional License Data
ABA,Applied Behavior Analyst,IN,IN_PLA,Indiana Professional Licensing Agency
ABA,Applied Behavior Analyst,ME,ME_OPLR,Maine Office of Professional and Occupational Regulation (ALMS)
ABA,Applied Behavior Analyst,MS,MS_ABA,Mississippi Board of Licensure for Professional Counselors and Autism Specialists
ABA,Applied Behavior Analyst,ND,ND_AP,North Dakota Board of Integrative Health Care (AP/ABA)
ABA,Applied Behavior Analyst,NH,NH_OPLC,New Hampshire Office of Professional Licensure and Certification
ABA,Applied Behavior Analyst,NJ,NJ_DCA,New Jersey Division of Consumer Affairs — License Verification
ABA,Applied Behavior Analyst,NV,NV_ABA,Nevada ABA Board
ABA,Applied Behavior Analyst,NY,NY_CREDENTIALS,New York State Education Department - Office of the Professions (Multi-Profession)
ABA,Applied Behavior Analyst,OH,OH_PROVIDERS_INDIVIDUAL,State of Ohio Licensure - Individual
ABA,Applied Behavior Analyst,OR,OR_HLO,Oregon Health Licensing Office
ABA,Applied Behavior Analyst,PA,PA_PALS,Pennsylvania Licensing System (PALS) — All Boards
ABA,Applied Behavior Analyst,VA,VA_DHP,Virginia Department of Health Professions — License Lookup
ABA,Applied Behavior Analyst,WI,WI_DSPS,Wisconsin Department of Safety and Professional Services
AP,Acupuncturist,CT,CT_ELICENSE,Connecticut eLicense — Healthcare Practitioners
AP,Acupuncturist,FL,FL_MQA,Florida Department of Health — Medical Quality Assurance
AP,Acupuncturist,IL,IL_LICENSING,Illinois Department of Financial and Professional Regulation — Professional License Data
AP,Acupuncturist,IN,IN_PLA,Indiana Professional Licensing Agency
AP,Acupuncturist,MA,MA_HEALTH,Massachusetts Health License Verification
AP,Acupuncturist,MD,MD_ACUPUNCTURE,Maryland Board of Acupuncture
AP,Acupuncturist,MI,MI_LARA,Michigan Department of Licensing and Regulatory Affairs (LARA)
AP,Acupuncturist,MN,MN_MEDPRACTICE,Minnesota Board of Medical Practice
AP,Acupuncturist,MO,MO_NURSING,Missouri State Board of Nursing
AP,Acupuncturist,NJ,NJ_DCA,New Jersey Division of Consumer Affairs — License Verification
AP,Acupuncturist,OH,OH_PROVIDERS_INDIVIDUAL,State of Ohio Licensure - Individual
AP,Acupuncturist,PA,PA_PALS,Pennsylvania Licensing System (PALS) — All Boards
AP,Acupuncturist,TX,TX_MEDBOARD,Texas Medical Board
AP,Acupuncturist,VA,VA_DHP,Virginia Department of Health Professions — License Lookup
AP,Acupuncturist,WY,WY_PHYSICIAN,Wyoming Board of Medicine — Physician
AU,Audiologist,AL,AL_ABESPA,Alabama Board of Examiners for Speech-Language Pathology and Audiology
AU,Audiologist,AZ,AZ_SPEECH_HEAR,"Arizona Department of Health Services - Licensing Services (Speech-Language Pathology, Audiology, Hearing Aid Dispensing)"
AU,Audiologist,CO,CO_DORA,Colorado Division of Regulatory Agencies — Professional and Occupational Licenses
