state,prov_type,prov_description,source_id,board_name,board_profession_codes,lic_prefix_in_psv,psv_row_count,routing_status
AK,DT,Dietitian/Nutritionist,,,,(none):3,3,NOT_CONFIGURED
AK,LC,Licensed Counselor,,,,(none):1,1,NOT_CONFIGURED
AK,ND,Naturopathic Doctor,,,,(none):1,1,NOT_CONFIGURED
AK,NP,Nurse Practitioner,,,,(none):5,5,NOT_CONFIGURED
AK,NPB,Nurse Practitioner (Broadened),,,,(none):1,1,NOT_CONFIGURED
AK,PAS,Physician Assistant,,,,(none):2,2,NOT_CONFIGURED
AK,PH,Pharmacist,,,,"(none):1, MEDS:1",2,NOT_CONFIGURED
AK,PN,Practical Nurse (LPN),,,,"S:1, (none):1",2,NOT_CONFIGURED
AK,PT,Physical Therapist,,,,(none):1,1,NOT_CONFIGURED
AK,SH,Speech-Language Pathologist,,,,(none):1,1,NOT_CONFIGURED
AL,ABA,Applied Behavior Analyst,,,,(none):5,5,NOT_CONFIGURED
AL,AU,Audiologist,AL_ABESPA,Alabama Board of Examiners for Speech-Language Pathology and Audiology,"SLP,AUD",(none):3,3,CONFIGURED
AL,CP,Clinical Psychologist,,,,"(none):3, PSYPACT:1",4,NOT_CONFIGURED
AL,DC,Doctor of Chiropractic,,,,(none):1,1,NOT_CONFIGURED
AL,DP,Doctor of Podiatric Medicine,,,,(none):1,1,NOT_CONFIGURED
AL,DT,Dietitian/Nutritionist,,,,(none):12,12,NOT_CONFIGURED
AL,LC,Licensed Counselor,AL_MFT,Alabama Board of Examiners in Marriage and Family Therapy,"MFT,LMFT",L:1,1,CONFIGURED
AL,LPC,Licensed Professional Counselor,AL_MFT,Alabama Board of Examiners in Marriage and Family Therapy,"MFT,LMFT",(none):1,1,CONFIGURED
AL,NP,Nurse Practitioner,,,,(none):17,17,NOT_CONFIGURED
AL,OT,Occupational Therapist,,,,(none):18,18,NOT_CONFIGURED
AL,PAS,Physician Assistant,AL_ALBME,Alabama Board of Medical Examiners and Medical Licensure Commission,"MD,DO,PA","PA:4, (none):1",5,CONFIGURED
AL,PH,Pharmacist,,,,"(none):23, MD:12",35,NOT_CONFIGURED
AL,PN,Practical Nurse (LPN),,,,(none):5,5,NOT_CONFIGURED
AL,PT,Physical Therapist,,,,PTH:1,1,NOT_CONFIGURED
AL,SW,Social Worker,,,,(none):8,8,NOT_CONFIGURED
AR,ABA,Applied Behavior Analyst,,,,(none):16,16,NOT_CONFIGURED
AR,CP,Clinical Psychologist,,,,"(none):2, PSYPACT:1",3,NOT_CONFIGURED
AR,DAC,Drug & Alcohol Counselor,AR_BEADAC,Arkansas Board of Examiners for Alcohol and Drug Abuse Counselors,,(none):2,2,CONFIGURED
AR,DC,Doctor of Chiropractic,,,,(none):49,49,NOT_CONFIGURED
AR,DT,Dietitian/Nutritionist,AR_DIETBOARD,Arkansas Dietetic Licensing Board,,"(none):20, PLD:1",21,CONFIGURED
AR,LC,Licensed Counselor,"IBCLC_COMMISSION,AR_ASBN","International Board of Lactation Consultant Examiners / Arkansas State Board of Nursing",,"R:1, L:1",2,CONFIGURED
AR,LPC,Licensed Professional Counselor,,,,"P:2, (none):1",3,NOT_CONFIGURED
AR,NP,Nurse Practitioner,,,,"(none):45, R:44, A:24, S:1",114,NOT_CONFIGURED
AR,NPB,Nurse Practitioner (Broadened),,,,"A:1, (none):1",2,NOT_CONFIGURED
AR,OP,Optometrist (OP),,,,"(none):4, AR:1",5,NOT_CONFIGURED
AR,OT,Occupational Therapist,,,,OTR:61,61,NOT_CONFIGURED
AR,PAS,Physician Assistant,,,,PA:11,11,NOT_CONFIGURED
AR,PE,Psychology Examiner,AR_APB,Arkansas Psychology Board,"[EX, EI]",(none):3,3,CONFIGURED
AR,PH,Pharmacist,AR_MEDBOARD,Arkansas State Medical Board,,"E:81, C:9, N:4, R:4",98,CONFIGURED
AR,PN,Practical Nurse (LPN),,,,"R:8, (none):7, A:6, S:1",22,NOT_CONFIGURED
AR,PT,Physical Therapist,,,,"PT:125, (none):18",143,NOT_CONFIGURED
AR,RNA,Registered Nurse Anesthetist,,,,"C:2, R:1",3,NOT_CONFIGURED
AR,SH,Speech-Language Pathologist,,,,"(none):2, SP:1",3,NOT_CONFIGURED
AR,SW,Social Worker,,,,(none):32,32,NOT_CONFIGURED
AZ,ABA,Applied Behavior Analyst,,,,"BEH:22, (none):3, BA:1, SLP:1",27,NOT_CONFIGURED
AZ,AU,Audiologist,AZ_SPEECH_HEAR,"Arizona Department of Health Services - Licensing Services (Speech-Language Pathology, Audiology, Hearing Aid Dispensing)","SLP,AUD,HAD",DA:3,3,CONFIGURED
AZ,CP,Clinical Psychologist,AZ_PSYCH,Arizona Board of Psychologist Examiners,PSY,"PSY:15, (none):7, PSYPACT:7, PS:1, LCSW:1",31,CONFIGURED
AZ,DAC,Drug & Alcohol Counselor,,,,"LISAC:3, LIAC:1",4,NOT_CONFIGURED
AZ,DC,Doctor of Chiropractic,AZ_CHIRO,Arizona State Board of Chiropractic Examiners,DC,(none):6,6,CONFIGURED
AZ,DT,Dietitian/Nutritionist,,,,(none):33,33,NOT_CONFIGURED
AZ,LC,Licensed Counselor,,,,"RN:3, (none):1",4,NOT_CONFIGURED
AZ,LPC,Licensed Professional Counselor,,,,"LPC:36, (none):5, LAC:1, OTC:1",43,NOT_CONFIGURED
AZ,MT,Massage Therapist,,,,"LMFT:4, LAMFT:1",5,NOT_CONFIGURED
AZ,MW,Midwife,,,,(none):1,1,NOT_CONFIGURED
AZ,NP,Nurse Practitioner,,,,"(none):150, RN:117, AP:64, TEMP:1, TELE:1, APRN:1",334,NOT_CONFIGURED
AZ,NPB,Nurse Practitioner (Broadened),,,,"AP:2, RN:2, (none):2",6,NOT_CONFIGURED
AZ,NUT,Nutritionist,,,,A:1,1,NOT_CONFIGURED
AZ,OP,Optometrist (OP),AZ_OPTOMETRY,Arizona State Board of Optometry,OD,OPT:1,1,CONFIGURED
AZ,OT,Occupational Therapist,AZ_OT,Arizona State Board of Occupational Therapy Examiners,"OT,OTA",(none):1,1,CONFIGURED
AZ,PAB,Physician Assistant (Board),,,,(none):1,1,NOT_CONFIGURED
AZ,PAS,Physician Assistant,AZ_MEDBOARD,Arizona Medical Board,"MD,PA",(none):24,24,CONFIGURED
AZ,PH,Pharmacist,,,,(none):167,167,NOT_CONFIGURED
AZ,PN,Practical Nurse (LPN),,,,"(none):34, RN:30, AP:12, APRN:1, TELE:1",78,NOT_CONFIGURED
AZ,PT,Physical Therapist,AZ_PT,Arizona Board of Physical Therapy,PT,(none):1,1,CONFIGURED
AZ,RN,Registered Nurse,,,,(none):1,1,NOT_CONFIGURED
AZ,RNA,Registered Nurse Anesthetist,,,,(none):4,4,NOT_CONFIGURED
AZ,SH,Speech-Language Pathologist,AZ_SPEECH_HEAR,"Arizona Department of Health Services - Licensing Services (Speech-Language Pathology, Audiology, Hearing Aid Dispensing)","SLP,AUD,HAD",SLP:2,2,CONFIGURED
AZ,SW,Social Worker,,,,"LCSW:19, (none):5, LMSW:2, LISAC:1, LIAC:1",28,NOT_CONFIGURED
CA,ABA,Applied Behavior Analyst,,,,"(none):160, NOLICENSE:4, A:1",165,NOT_CONFIGURED
CA,AU,Audiologist,,,,"(none):6, AU:5",11,NOT_CONFIGURED
CA,CP,Clinical Psychologist,,,,"(none):75, PSY:12, MFC:2",89,NOT_CONFIGURED
CA,DC,Doctor of Chiropractic,,,,"(none):5, DC:1",6,NOT_CONFIGURED
CA,DP,Doctor of Podiatric Medicine,,,,"(none):12, E:6",18,NOT_CONFIGURED
CA,DT,Dietitian/Nutritionist,,,,"(none):76, L:33, DT:3, ABC:1",113,NOT_CONFIGURED
CA,LC,Licensed Counselor,,,,"(none):11, RN:1, L:1",13,NOT_CONFIGURED
CA,LPC,Licensed Professional Counselor,,,,"(none):9, APCC:2",11,NOT_CONFIGURED
CA,MT,Massage Therapist,,,,"(none):145, LMFT:9",154,NOT_CONFIGURED
CA,MW,Midwife,,,,"(none):10, NMW:1",11,NOT_CONFIGURED
CA,NP,Nurse Practitioner,,,,"(none):279, NP:6, APRN:1",286,NOT_CONFIGURED
